15-2-3 20:39:55.9|Info|Bootstrap|Starting NzbDrone - /usr/lib/sonarr/NzbDrone.exe - Version 2.0.0.2722
15-2-3 20:39:56.5|Debug|ProcessProvider|Found 0 processes with the name: NzbDrone.Console
15-2-3 20:39:56.7|Debug|ProcessProvider|Found 1 processes with the name: NzbDrone
15-2-3 20:39:56.8|Info|MigrationLogger|*** Migrating data source=/home/rps/.config/NzbDrone/nzbdrone.db;cache size=-10485760;datetimekind=Utc;journal mode=Wal;pooling=True;version=3 ***
15-2-3 20:39:57.0|Info|MigrationLogger|*** VersionMigration migrating ***
15-2-3 20:39:57.0|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.0|Debug|MigrationLogger|CreateTable VersionInfo
15-2-3 20:39:57.0|Debug|MigrationLogger|CREATE TABLE "VersionInfo" ("Version" INTEGER NOT NULL)
15-2-3 20:39:57.0|Debug|MigrationLogger|Took: 00:00:00.0090280
15-2-3 20:39:57.0|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.0|Debug|MigrationLogger|VersionMigration migrated
15-2-3 20:39:57.0|Debug|MigrationLogger|Took: 00:00:00.0366010
15-2-3 20:39:57.1|Info|MigrationLogger|*** VersionUniqueMigration migrating ***
15-2-3 20:39:57.1|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.1|Debug|MigrationLogger|CreateIndex VersionInfo (Version)
15-2-3 20:39:57.1|Debug|MigrationLogger|CREATE UNIQUE INDEX "UC_Version" ON "VersionInfo" ("Version" ASC)
15-2-3 20:39:57.1|Debug|MigrationLogger|Took: 00:00:00.0018340
15-2-3 20:39:57.1|Debug|MigrationLogger|AlterTable VersionInfo
15-2-3 20:39:57.1|Debug|MigrationLogger|
15-2-3 20:39:57.1|Debug|MigrationLogger|Took: 00:00:00.0003240
15-2-3 20:39:57.1|Debug|MigrationLogger|CreateColumn VersionInfo AppliedOn DateTime
15-2-3 20:39:57.1|Debug|MigrationLogger|ALTER TABLE "VersionInfo" ADD COLUMN "AppliedOn" DATETIME
15-2-3 20:39:57.1|Debug|MigrationLogger|Took: 00:00:00.0008010
15-2-3 20:39:57.1|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.2|Debug|MigrationLogger|VersionUniqueMigration migrated
15-2-3 20:39:57.2|Debug|MigrationLogger|Took: 00:00:00.0529540
15-2-3 20:39:57.2|Info|MigrationLogger|*** VersionDescriptionMigration migrating ***
15-2-3 20:39:57.2|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.2|Debug|MigrationLogger|AlterTable VersionInfo
15-2-3 20:39:57.2|Debug|MigrationLogger|
15-2-3 20:39:57.2|Debug|MigrationLogger|Took: 00:00:00.0001800
15-2-3 20:39:57.2|Debug|MigrationLogger|CreateColumn VersionInfo Description String
15-2-3 20:39:57.2|Debug|MigrationLogger|ALTER TABLE "VersionInfo" ADD COLUMN "Description" TEXT
15-2-3 20:39:57.2|Debug|MigrationLogger|Took: 00:00:00.0004880
15-2-3 20:39:57.2|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.2|Debug|MigrationLogger|VersionDescriptionMigration migrated
15-2-3 20:39:57.2|Debug|MigrationLogger|Took: 00:00:00.0775650
15-2-3 20:39:57.3|Info|MigrationLogger|*** 1: InitialSetup migrating ***
15-2-3 20:39:57.3|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.3|Info|InitialSetup|Starting migration  to 1
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable Config
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "Config" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Key" TEXT NOT NULL, "Value" TEXT NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0009120
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex Config (Key)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Config_Key" ON "Config" ("Key" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0007210
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable RootFolders
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "RootFolders" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Path" TEXT NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0006220
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex RootFolders (Path)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_RootFolders_Path" ON "RootFolders" ("Path" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005670
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable Series
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "Series" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvdbId" INTEGER NOT NULL, "TvRageId" INTEGER NOT NULL, "ImdbId" TEXT NOT NULL, "Title" TEXT NOT NULL, "TitleSlug" TEXT NOT NULL, "CleanTitle" TEXT NOT NULL, "Status" INTEGER NOT NULL, "Overview" TEXT, "AirTime" TEXT, "Images" TEXT NOT NULL, "Path" TEXT NOT NULL, "Monitored" INTEGER NOT NULL, "QualityProfileId" INTEGER NOT NULL, "SeasonFolder" INTEGER NOT NULL, "LastInfoSync" DATETIME, "LastDiskSync" DATETIME, "Runtime" INTEGER NOT NULL, "SeriesType" INTEGER NOT NULL, "BacklogSetting" INTEGER NOT NULL, "Network" TEXT, "CustomStartDate" DATETIME, "UseSceneNumbering" INTEGER NOT NULL, "FirstAired" DATETIME, "NextAiring" DATETIME)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0023320
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex Series (TvdbId)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TvdbId" ON "Series" ("TvdbId" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005550
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex Series (TvRageId)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TvRageId" ON "Series" ("TvRageId" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005500
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex Series (ImdbId)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_ImdbId" ON "Series" ("ImdbId" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005810
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex Series (TitleSlug)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TitleSlug" ON "Series" ("TitleSlug" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005560
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable Seasons
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "Seasons" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "SeriesId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL, "Ignored" INTEGER NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0007530
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable Episodes
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "Episodes" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvDbEpisodeId" INTEGER NOT NULL, "SeriesId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL, "EpisodeNumber" INTEGER NOT NULL, "Title" TEXT, "Overview" TEXT, "Ignored" INTEGER, "EpisodeFileId" INTEGER, "AirDate" DATETIME, "AbsoluteEpisodeNumber" INTEGER, "SceneAbsoluteEpisodeNumber" INTEGER, "SceneSeasonNumber" INTEGER, "SceneEpisodeNumber" INTEGER)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0014940
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex Episodes (TvDbEpisodeId)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Episodes_TvDbEpisodeId" ON "Episodes" ("TvDbEpisodeId" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005880
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable EpisodeFiles
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "EpisodeFiles" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "SeriesId" INTEGER NOT NULL, "Path" TEXT NOT NULL, "Quality" TEXT NOT NULL, "Size" INTEGER NOT NULL, "DateAdded" DATETIME NOT NULL, "SeasonNumber" INTEGER NOT NULL, "SceneName" TEXT, "ReleaseGroup" TEXT)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0011040
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex EpisodeFiles (Path)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_EpisodeFiles_Path" ON "EpisodeFiles" ("Path" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005320
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable History
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "History" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "EpisodeId" INTEGER NOT NULL, "SeriesId" INTEGER NOT NULL, "NzbTitle" TEXT NOT NULL, "Date" DATETIME NOT NULL, "Quality" TEXT NOT NULL, "Indexer" TEXT NOT NULL, "NzbInfoUrl" TEXT, "ReleaseGroup" TEXT)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0010060
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable Notifications
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "Notifications" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Name" TEXT NOT NULL, "OnGrab" INTEGER NOT NULL, "OnDownload" INTEGER NOT NULL, "Settings" TEXT NOT NULL, "Implementation" TEXT NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0047590
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable ScheduledTasks
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "ScheduledTasks" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TypeName" TEXT NOT NULL, "Interval" INTEGER NOT NULL, "LastExecution" DATETIME NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0007520
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex ScheduledTasks (TypeName)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_ScheduledTasks_TypeName" ON "ScheduledTasks" ("TypeName" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005690
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable Indexers
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "Indexers" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Enable" INTEGER NOT NULL, "Name" TEXT NOT NULL, "Implementation" TEXT NOT NULL, "Settings" TEXT)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0007190
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex Indexers (Name)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Indexers_Name" ON "Indexers" ("Name" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0004900
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable QualityProfiles
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "QualityProfiles" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Name" TEXT NOT NULL, "Cutoff" INTEGER NOT NULL, "Allowed" TEXT NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0006750
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex QualityProfiles (Name)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_QualityProfiles_Name" ON "QualityProfiles" ("Name" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005230
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable QualitySizes
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "QualitySizes" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "QualityId" INTEGER NOT NULL, "Name" TEXT NOT NULL, "MinSize" INTEGER NOT NULL, "MaxSize" INTEGER NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0007520
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex QualitySizes (QualityId)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_QualitySizes_QualityId" ON "QualitySizes" ("QualityId" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005400
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateIndex QualitySizes (Name)
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_QualitySizes_Name" ON "QualitySizes" ("Name" ASC)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0005110
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable SceneMappings
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "SceneMappings" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "CleanTitle" TEXT NOT NULL, "SceneName" TEXT NOT NULL, "TvdbId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0007790
15-2-3 20:39:57.3|Debug|MigrationLogger|CreateTable NamingConfig
15-2-3 20:39:57.3|Debug|MigrationLogger|CREATE TABLE "NamingConfig" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "UseSceneName" INTEGER NOT NULL, "Separator" TEXT NOT NULL, "NumberStyle" INTEGER NOT NULL, "IncludeSeriesTitle" INTEGER NOT NULL, "MultiEpisodeStyle" INTEGER NOT NULL, "IncludeEpisodeTitle" INTEGER NOT NULL, "IncludeQuality" INTEGER NOT NULL, "ReplaceSpaces" INTEGER NOT NULL, "SeasonFolderFormat" TEXT NOT NULL)
15-2-3 20:39:57.3|Debug|MigrationLogger|Took: 00:00:00.0012510
15-2-3 20:39:57.3|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (1, '2015-02-04T02:39:57', 'InitialSetup')
15-2-3 20:39:57.3|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.4|Debug|MigrationLogger|1: InitialSetup migrated
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0367060
15-2-3 20:39:57.4|Info|MigrationLogger|*** 2: remove_tvrage_imdb_unique_constraint migrating ***
15-2-3 20:39:57.4|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.4|Info|remove_tvrage_imdb_unique_constraint|Starting migration  to 2
15-2-3 20:39:57.4|Debug|MigrationLogger|DeleteIndex Series (TvRageId)
15-2-3 20:39:57.4|Debug|MigrationLogger|DROP INDEX "IX_Series_TvRageId"
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0008440
15-2-3 20:39:57.4|Debug|MigrationLogger|DeleteIndex Series (ImdbId)
15-2-3 20:39:57.4|Debug|MigrationLogger|DROP INDEX "IX_Series_ImdbId"
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0004390
